DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/03/2018,9:50,QUEENS,11379,40.72028,-73.86548,"(40.72028, -73.86548)",WOODHAVEN BOULEVARD             ,FURMANVILLE AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3893626,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
05/03/2018,9:50,,,40.84019,-73.94307,"(40.84019, -73.94307)",WEST 165 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3894092,BU,TAXI,,,
05/03/2018,9:50,,,40.665943,-73.81662,"(40.665943, -73.81662)",NORTH CONDUIT AVENUE            ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3893487,PASSENGER VEHICLE,,,,
05/03/2018,9:50,QUEENS,11411,40.6932,-73.727356,"(40.6932, -73.727356)",CROSS ISLAND PARKWAY            ,116 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3894398,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/03/2018,9:50,QUEENS,11377,40.73555,-73.894226,"(40.73555, -73.894226)",51 AVENUE                       ,70 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3894043,CONV,PASSENGER VEHICLE,,,
05/03/2018,9:50,BROOKLYN,11233,40.67392,-73.91012,"(40.67392, -73.91012)",EASTERN PARKWAY                 ,BERGEN STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3893091,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
05/03/2018,9:50,BROOKLYN,11219,40.637413,-73.9991,"(40.637413, -73.9991)",FORT HAMILTON PARKWAY           ,51 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3894672,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/03/2018,9:48,,,40.835297,-73.91291,"(40.835297, -73.91291)",MORRIS AVENUE                   ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3893642,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,9:48,,,40.830536,-73.91571,"(40.830536, -73.91571)",MORRIS AVENUE                   ,,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3895992,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,9:45,BROOKLYN,11236,40.634544,-73.89052,"(40.634544, -73.89052)",,,1979      ROCKAWAY PARKWAY              ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3893614,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
